code	company_name
5935	元旦ビューティ工業株式会社
6484	株式会社ＫＶＫ
5990	株式会社スーパーツール
5984	兼房株式会社
5988	株式会社パイオラックス
5983	イワブチ株式会社
5973	株式会社トーアミ
5971	株式会社共和工業所
3433	トーカロ株式会社
5909	株式会社　コロナ
5941	株式会社　中西製作所
5987	株式会社オーネックス
5979	カネソウ株式会社
3421	株式会社稲葉製作所
3422	株式会社　Ｊ－ＭＡＸ
6469	株式会社　放電精密加工研究所
6467	株式会社ニチダイ
7841	株式会社遠藤製作所
3431	宮地エンジニアリンググループ株式会社
3435	サンコーテクノ株式会社
3437	特殊電極株式会社
6264	株式会社マルマエ
3442	株式会社ＭＩＥコーポレーション
6013	株式会社タクマ
6018	阪神内燃機工業株式会社
6016	株式会社ジャパンエンジンコーポレーション
6022	株式会社　赤阪鐵工所
6023	ダイハツディーゼル株式会社
6005	三浦工業株式会社
6101	株式会社ツガミ
6103	オークマ株式会社
6104	芝浦機械株式会社
6113	株式会社アマダ
6138	ダイジェット工業株式会社
6131	浜井産業株式会社
6125	株式会社岡本工作機械製作所
6134	株式会社ＦＵＪＩ
6135	株式会社　牧野フライス製作所
6140	旭ダイヤモンド工業株式会社
6141	ＤＭＧ森精機株式会社
6142	富士精工株式会社
6143	株式会社ソディック
6278	ユニオンツール株式会社
6146	株式会社ディスコ
6147	株式会社ヤマザキ
6150	タケダ機械株式会社
6151	日東工器株式会社
6155	高松機械工業株式会社
6158	株式会社和井田製作所
6201	株式会社豊田自動織機
6203	豊和工業株式会社
6208	株式会社石川製作所
6218	エンシュウ株式会社
6217	津田駒工業株式会社
6210	東洋機械金属株式会社
6391	株式会社加地テック
6222	株式会社島精機製作所
6301	株式会社小松製作所
6302	住友重機械工業株式会社
6360	株式会社　東京自働機械製作所
6331	三菱化工機株式会社
6332	月島ホールディングス株式会社
6334	明治機械株式会社
6335	株式会社東京機械製作所
6339	新東工業株式会社
6361	株式会社荏原製作所
6365	株式会社電業社機械製作所
6118	アイダエンジニアリング株式会社
6378	木村化工機株式会社
6342	株式会社太平製作所
6245	株式会社ヒラノテクシード
6111	旭精機工業株式会社
6383	株式会社ダイフク
6381	アネスト岩田株式会社
6310	井関農機株式会社
6316	株式会社丸山製作所
6366	千代田化工建設株式会社
6367	ダイキン工業株式会社
6368	オルガノ株式会社
6369	トーヨーカネツ株式会社
