日付	コード	企業名	iXBRLのURL	タイトル	PDFのURL
2023-05-10	4809	4809	/disc/48090/081220230424551608_tse-qnedjpsm-48090-20230424551608-ixbrl.htm	令和5年9月期 第2四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120230424551608.pdf
2023-02-08	4809	4809	/disc/48090/081220230124592615_tse-qnedjpsm-48090-20230124592615-ixbrl.htm	令和5年9月期 第1四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120230124592615.pdf
2022-11-08	4809	4809	/disc/48090/081220221101554945_tse-anedjpsm-48090-20221101554945-ixbrl.htm	令和4年9月期決算短信〔日本基準〕（非連結）	/disc/48090/140120221101554945.pdf
2022-08-03	4809	4809	/disc/48090/081220220722503510_tse-qnedjpsm-48090-20220722503510-ixbrl.htm	令和4年9月期 第3四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120220722503510.pdf
2022-05-11	4809	4809	/disc/48090/081220220419523932_tse-qnedjpsm-48090-20220419523932-ixbrl.htm	令和4年9月期 第2四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120220419523932.pdf
2022-02-04	4809	4809	/disc/48090/081220220124571213_tse-qnedjpsm-48090-20220124571213-ixbrl.htm	令和4年9月期 第1四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120220124571213.pdf
2021-11-05	4809	4809	/disc/48090/081220211026416975_tse-anedjpsm-48090-20211026416975-ixbrl.htm	令和3年9月期決算短信〔日本基準〕（非連結）	/disc/48090/140120211026416975.pdf
2021-08-04	4809	4809	/disc/48090/081220210720469363_tse-qnedjpsm-48090-20210720469363-ixbrl.htm	令和3年9月期 第3四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120210720469363.pdf
2021-05-12	4809	4809	/disc/48090/081220210422498109_tse-qnedjpsm-48090-20210422498109-ixbrl.htm	令和3年9月期 第2四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120210422498109.pdf
2021-02-04	4809	4809	/disc/48090/081220210125448469_tse-qnedjpsm-48090-20210125448469-ixbrl.htm	令和3年9月期 第1四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120210125448469.pdf
2020-11-06	4809	4809	/disc/48090/081220201026408883_tse-anedjpsm-48090-20201026408883-ixbrl.htm	令和2年9月期決算短信〔日本基準〕（非連結）	/disc/48090/140120201026408883.pdf
2020-08-05	4809	4809	/disc/48090/081220200720464905_tse-qnedjpsm-48090-20200720464905-ixbrl.htm	令和2年9月期 第3四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120200720464905.pdf
2020-05-11	4809	4809	/disc/48090/081220200422497291_tse-qnedjpsm-48090-20200422497291-ixbrl.htm	令和2年9月期 第2四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120200422497291.pdf
2020-02-05	4809	4809	/disc/48090/081220200129452767_tse-qnedjpsm-48090-20200129452767-ixbrl.htm	令和2年9月期 第1四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120200129452767.pdf
2019-11-07	4809	4809	/disc/48090/081220191029414350_tse-anedjpsm-48090-20191029414350-ixbrl.htm	令和元年9月期決算短信〔日本基準〕（非連結）	/disc/48090/140120191029414350.pdf
2019-08-06	4809	4809	/disc/48090/081220190725476294_tse-qnedjpsm-48090-20190725476294-ixbrl.htm	令和元年9月期 第3四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120190725476294.pdf
2019-05-09	4809	4809	/disc/48090/081220190508416744_tse-qnedjpsm-48090-20190508416744-ixbrl.htm	令和元年9月期 第2四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120190508416744.pdf
2019-02-05	4809	4809	/disc/48090/081220190129464792_tse-qnedjpsm-48090-20190129464792-ixbrl.htm	平成31年9月期 第1四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120190129464792.pdf
2018-11-06	4809	4809	/disc/48090/081220181024422285_tse-anedjpsm-48090-20181024422285-ixbrl.htm	平成30年9月期決算短信〔日本基準〕（非連結）	/disc/48090/140120181024422285.pdf
2018-08-03	4809	4809	/disc/48090/081220180725485114_tse-qnedjpsm-48090-20180725485114-ixbrl.htm	平成30年9月期 第3四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120180725485114.pdf
2018-05-08	4809	4809	/disc/48090/081220180427423219_tse-qnedjpsm-48090-20180427423219-ixbrl.htm	平成30年9月期 第2四半期決算短信〔日本基準〕（非連結）	/disc/48090/140120180427423219.pdf
