コード	企業名	競合リスト
6028	テクノプロ・ホールディングス	"[{""code"": ""2154"", ""name"": ""オプンUG""}, {""code"": ""4641"", ""name"": ""アルプス技""}, {""code"": ""9744"", ""name"": ""メイテクH""}]"
3900	クラウドワークス	"[{""code"": ""4484"", ""name"": ""ランサーズ""}, {""code"": ""4490"", ""name"": ""ビザスク""}, {""code"": ""7060"", ""name"": ""ギークス""}]"
6026	GMO TECH	"[{""code"": ""2489"", ""name"": ""アドウェイ""}, {""code"": ""4751"", ""name"": ""サイバーA""}]"
7816	スノーピーク	
3452	ビーロット	"[{""code"": ""2982"", ""name"": ""ADワクス""}, {""code"": ""3482"", ""name"": ""ロードスタ""}]"
6027	弁護士ドットコム	"[{""code"": ""2371"", ""name"": ""カカクコム""}, {""code"": ""2413"", ""name"": ""エムスリー""}, {""code"": ""3994"", ""name"": ""マネフォワ""}]"
3698	ＣＲＩ・ミドルウェア	"[{""code"": ""3653"", ""name"": ""モルフォ""}, {""code"": ""3773"", ""name"": ""AMI""}, {""code"": ""4388"", ""name"": ""エーアイ""}]"
6025	日本ＰＣサービス	"[{""code"": ""2375"", ""name"": ""ギグワクス""}]"
3697	ＳＨＩＦＴ	"[{""code"": ""3657"", ""name"": ""ポールトゥ""}, {""code"": ""3676"", ""name"": ""デジハーツ""}]"
6099	エラン	"[{""code"": ""2393"", ""name"": ""日ケア""}, {""code"": ""9729"", ""name"": ""トーカイ""}]"
9467	アルファポリス	"[{""code"": ""3641"", ""name"": ""パピレス""}, {""code"": ""3678"", ""name"": ""メディアド""}, {""code"": ""9468"", ""name"": ""カドカワ""}]"
3694	オプティム	"[{""code"": ""147A"", ""name"": ""ソラコム""}, {""code"": ""4475"", ""name"": ""ヘンゲ""}, {""code"": ""4495"", ""name"": ""iキュブS""}]"
3696	セレス	"[{""code"": ""3662"", ""name"": ""エイチーム""}, {""code"": ""3688"", ""name"": ""CARTA""}]"
3695	GMOリサーチ	"[{""code"": ""3675"", ""name"": ""クロスMG""}, {""code"": ""3978"", ""name"": ""マクロミル""}]"
6098	リクルート	"[{""code"": ""6758"", ""name"": ""ソニーG""}, {""code"": ""9432"", ""name"": ""NTT""}, {""code"": ""9984"", ""name"": ""ソフトBG""}]"
3197	すかいらーく	"[{""code"": ""7550"", ""name"": ""ゼンショー""}, {""code"": ""7581"", ""name"": ""サイゼリヤ""}, {""code"": ""8179"", ""name"": ""ロイヤルH""}]"
6240	ヤマシンフィルタ	"[{""code"": ""5942"", ""name"": ""日本フイル""}, {""code"": ""7265"", ""name"": ""エイケン工""}]"
3196	ホットランド	"[{""code"": ""2268"", ""name"": ""サティワン""}, {""code"": ""3193"", ""name"": ""エタナルH""}, {""code"": ""7630"", ""name"": ""壱番屋""}]"
3692	ＦＦＲＩ	"[{""code"": ""3040"", ""name"": ""ソリトンS""}, {""code"": ""4288"", ""name"": ""アズジェン""}, {""code"": ""4704"", ""name"": ""トレンドM""}]"
4591	リボミック	"[{""code"": ""4583"", ""name"": ""カイオムB""}, {""code"": ""4587"", ""name"": ""ペプチD""}]"
3195	ジェネレーションパス	"[{""code"": ""2790"", ""name"": ""ナフコ""}, {""code"": ""3092"", ""name"": ""ZOZO""}, {""code"": ""3655"", ""name"": ""Bパッド""}]"
3300	ＡＭＢＩＴＩＯＮ	"[{""code"": ""1435"", ""name"": ""ロボットH""}, {""code"": ""3486"", ""name"": ""グロバLM""}, {""code"": ""3491"", ""name"": ""GAテクノ""}]"
3691	リアルワールド	"[{""code"": ""4449"", ""name"": ""ギフティ""}]"
3690	ロックオン	"[{""code"": ""5027"", ""name"": ""AnyMd""}, {""code"": ""6094"", ""name"": ""フリークO""}, {""code"": ""9553"", ""name"": ""マイクロA""}]"
7172	ジャパンインベストメントアドバイザー	"[{""code"": ""2127"", ""name"": ""日本M&A""}, {""code"": ""5834"", ""name"": ""SBILS""}, {""code"": ""7148"", ""name"": ""FPG""}]"
6097	日本ビューホテル	
3689	イグニス	
3193	鳥貴族	"[{""code"": ""3178"", ""name"": ""チムニー""}, {""code"": ""3547"", ""name"": ""串カツ田中""}]"
3688	ＶＯＹＡＧＥＧＲＯＵＰ	"[{""code"": ""4293"", ""name"": ""セプテニH""}, {""code"": ""4751"", ""name"": ""サイバーA""}]"
6096	レアジョブ	"[{""code"": ""4427"", ""name"": ""エデュラボ""}, {""code"": ""7043"", ""name"": ""アルー""}, {""code"": ""9345"", ""name"": ""ビズメイツ""}]"
